Country Name,Sovereign,GEO Region,GEO Subregion,GEO ID,ISO 2 Code,ISO 3 Code,arable61,arable_62,arable_63,arable_64,arable_65,arable_66,arable_67,arable_68,arable_69,arable_70,arable_71,arable_72,arable_73,arable_74,arable_75,arable_76,arable_77,arable_78,arable_79,arable_80,arable_81,arable_82,arable_83,arable_84,arable_85,arable_86,arable_87,arable_88,arable_89,arable_90,arable_91,arable_92,arable_93,arable_94,arable_95,arable_96,arable_97,arable_98,arable_99,arable_00,arable_01,arable_02,arable_03,arable_04,arable_05,arable_06,arable_07,arable_08,arable_09,arable_10,arable_11,arable_12,ch4_70,ch4_71,ch4_72,ch4_73,ch4_74,ch4_75,ch4_76,ch4_77,ch4_78,ch4_79,ch4_80,ch4_81,ch4_82,ch4_83,ch4_84,ch4_85,ch4_86,ch4_87,ch4_88,ch4_89,ch4_90,ch4_91,ch4_92,ch4_93,ch4_94,ch4_95,ch4_96,ch4_97,ch4_98,ch4_99,ch4_00,ch4_01,ch4_02,ch4_03,ch4_04,ch4_05,ch4_06,ch4_07,ch4_08,co_90,co_91,co_92,co_93,co_94,co_95,co_96,co_97,co_98,co_99,co_00,co_01,co_02,co_03,co_04,co_05,co_06,co_07,co_08,co_09,co_10,co_11,co_12,co2_00,co2_01,co2_02,co2_03,co2_04,co2_05,co2_06,co2_07,co2_08,co2_09,co2_10,dis_75,dis_76,dis_77,dis_78,dis_79,dis_80,dis_81,dis_82,dis_83,dis_84,dis_85,dis_86,dis_87,dis_88,dis_89,dis_90,dis_91,dis_92,dis_93,dis_94,dis_95,dis_96,dis_97,dis_98,dis_99,dis_00,dis_01,dis_02,dis_03,dis_04,hfc_90,hfc_00,hfc_05,hfc_08,hfc_10,forest_90-00,forest_00-05,forest_05-10,ghg_90,ghg_91,ghg_92,ghg_93,ghg_94,ghg_95,ghg_96,ghg_97,ghg_98,ghg_99,ghg_00,ghg_01,ghg_02,ghg_03,ghg_04,ghg_05,ghg_06,ghg_07,ghg_08,ghg_09,ghg_10,ghg_11,ghg_12
Afghanistan,Afghanistan,Asia + Pacific,South Asia,4,AF,AFG,7650,7700,7750,7800,7800,7835,7844,7844,7860,7870,7900,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7792,7791,7790,486,486,437,448,476,499,502,498,494,485,494,491,489,469,431,396,353,356,377,355.478,363.218,366.766,351.692,355.947,365.092,375.516,410.08,438.743,461.913,490.758,446.866,412.691,472.83,492.885,501.02,509.464,517.616,526.176,534.497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,863.738,776.491,695.414,632.593,673.321,721.262,673.137,708.015,718.121,719.358,724.787,0,170000,0,264044,0,30000,0,35000,27440,0,0,0,0,161455,0,0,137200,0,0,100000,0,2500,20000,102000,60685,2580000,4000000,95445,500,2800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albania,Albania,Europe,Central Europe,8,AL,ALB,432,436,440,443,460,475,488,500,510,521,530,540,548,557,563,575,580,583,583,585,588,589,589,589,589,589,590,590,582,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622,619.1,84,82,83,85,86,89,93,95,101,104,106,106,107,110,111,109,113,119,124,126.111,121.284,114.166,108.046,111.638,132.57,131.844,124.686,117.07,112.928,112.232,124.229,111.677,111.106,117.771,117.62,117.955,118.347,119.321,119.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3857.95,4089.9,4727.05,4877.32,4416.52,5299.09,4954.44,4993.55,4929.1,4783.86,5059.34,0,0,0,0,0,0,0,0,0,0,5745,0,0,690,0,0,3200000,35000,0,0,3500,0,8000,2100,0,0,0,191884,0,0,0,0.02,0.06,0.09,0.11,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Algeria,Algeria,Africa,Northern Africa,12,DZ,DZA,6472,6300,6200,6132,6203,6221,6301,6243,6233,6248,6380,6510,6512,6544,6845,7092,6904,6892,6846,6875,6885,6881,6592,6915,6910,6967,7069,7101,7129,7081,7260,7562,7533,7477,7519,7521,7650,7661,7673,7662,7583,7547,7503.7,7493,7511,7470,7469,7489,7493,7502,7502,7545,612,685,948,1183,1028,948,1147,1228,1324,1325,1240,1125,1097,1215,1296,1501,1483,1498,1503,1583.45,1538.07,1590.71,1785.11,1780.81,1732.21,1885.86,1934.32,1992.22,2038.84,2177.1,2145.37,2012.51,2011.77,2148.66,2132.85,2225.59,2260.73,2216.54,2258.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82731.3,81593.1,83721.6,88896.1,89323,93489.4,98459.3,102138,106299,112548,114307,0,0,0,0,30000,478948,0,8500,0,0,0,0,3145,10107,12000,0,0,2250,0,12500,0,0,0,0,0,0,45000,2285,0,27545,0,0.06,0.17,0.23,0.28,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Samoa,United States of America,Asia + Pacific,South Pacific,16,AS,ASM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.5,2,2,2.4,2.5,2.5,2.5,2.5,3.34,3.3,3.3,3.3,3,2.96,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445358,0.421006,0.434138,0.445713,0.456243,0.465635,0.4742,0.4819,0.488659,0.493742,0.498681,0.503296,0.509209,0.514986,0.520292,0.526777,0.534096,0.542055,0.555379,0.572967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.2163,16.9735,17.3142,17.6911,18.041,18.369,18.7018,19.0323,19.3639,19.6956,20.0273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Andorra,Andorra,Europe,Western Europe,20,AD,AND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.4,2.3,2.2,2.3,2.5,2.6,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angola,Angola,Africa,Southern Africa,24,AO,AGO,2670,2700,2720,2750,2770,2800,2830,2860,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2950,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3300,3300,3300,3300,3400,3400,4000,4100,4700,4900,1113,690,742,793,715,812,716,830,870,1091,935,829,913,914,749,766,756,976,752,823.736,1050.3,912.734,1347.02,835.596,943.331,1020.02,995.377,717.667,766.045,766.285,750.395,737.949,747.372,742.37,752.811,778.983,790.653,788.144,823.458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21732,21837.2,22261.9,24022.7,23283.2,21456,24791.4,22413.8,23547.9,24752.9,26007.6,0,0,0,0,0,0,80000,0,0,0,500000,0,0,0,2296000,870000,0,0,0,0,0,0,0,105000,0,19000,39928,0,0,355000,0,0,0.02,0.03,0.03,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,28,AI,AIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182616,0.173026,0.166267,0.160243,0.143466,0.140992,0.140589,0.141341,0.140828,0.139924,0.139076,0.142228,0.143068,0.150124,0.144156,0.144484,0.144699,0.144976,0.145227,0.145493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antarctica,Antarctic,Polar,Antarctic,32,AQ,ATA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,36,AG,ATG,8,7,8,7,8,8,7,7,8,8,7,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1.68607,1.69099,1.70303,1.71461,1.7367,1.7662,1.78507,1.7681,1.76096,1.75014,1.74708,1.74651,1.78514,1.81281,1.83892,1.87628,1.88762,1.91388,1.93871,1.96861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,337.872,336.911,342.744,353.285,380.87,384.793,392.849,405.736,417.751,428.737,439.722,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,4500,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Argentina,Argentina,Latin America + Caribbean,South America,40,AR,ARG,18597,19180,19600,20000,20461,21608,22341,23851,25897,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,27000,27000,27000,27000,27000,26800,26367,26470,26575,26680,26785,26890,26998,27105,27212,27320,27425,27532,27640,27746,27862,28683.5,30775,32897.5,34854,36433,35058,33797,37217,38048,39291,4044,4035,4214,4323,4372,4471,4631,4747,4618,4601,4559,4436,4376,4481,4515,4506,4506,4536,4672,4775.82,4861.08,4792.78,4864.09,4836.58,4812.79,4866.45,4828.55,4884.63,4774.69,4681.02,4724.48,4691.2,4566.35,4812.67,4833.4,4767.89,4763.11,4656.36,4661.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157296,148350,134333,146099,162134,166745,176827,181078,183134,172647,175093,0,0,2500,1600,20000,40000,0,50000,5830000,12000,1195000,145000,165000,4600000,0,2000,62000,0,4000,0,33500,0,12500,364000,0,30300,254800,13700,143900,1300,0.21,0.06,0.22,0.34,0.42,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
