Country Name,Sovereign,GEO Region,GEO Subregion,ch4_70,ch4_71,ch4_72,ch4_73,ch4_74,ch4_75,ch4_76,ch4_77,ch4_78,ch4_79,ch4_80,ch4_81,ch4_82,ch4_83,ch4_84,ch4_85,ch4_86,ch4_87,ch4_88,ch4_89,ch4_90,ch4_91,ch4_92,ch4_93,ch4_94,ch4_95,ch4_96,ch4_97,ch4_98,ch4_99,ch4_00,ch4_01,ch4_02,ch4_03,ch4_04,ch4_05,ch4_06,ch4_07,ch4_08
Afghanistan,Afghanistan,Asia + Pacific,South Asia,486,486,437,448,476,499,502,498,494,485,494,491,489,469,431,396,353,356,377,355.478,363.218,366.766,351.692,355.947,365.092,375.516,410.08,438.743,461.913,490.758,446.866,412.691,472.83,492.885,501.02,509.464,517.616,526.176,534.497
Albania,Albania,Europe,Central Europe,84,82,83,85,86,89,93,95,101,104,106,106,107,110,111,109,113,119,124,126.111,121.284,114.166,108.046,111.638,132.57,131.844,124.686,117.07,112.928,112.232,124.229,111.677,111.106,117.771,117.62,117.955,118.347,119.321,119.84
Algeria,Algeria,Africa,Northern Africa,612,685,948,1183,1028,948,1147,1228,1324,1325,1240,1125,1097,1215,1296,1501,1483,1498,1503,1583.45,1538.07,1590.71,1785.11,1780.81,1732.21,1885.86,1934.32,1992.22,2038.84,2177.1,2145.37,2012.51,2011.77,2148.66,2132.85,2225.59,2260.73,2216.54,2258.89
American Samoa,United States of America,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445358,0.421006,0.434138,0.445713,0.456243,0.465635,0.4742,0.4819,0.488659,0.493742,0.498681,0.503296,0.509209,0.514986,0.520292,0.526777,0.534096,0.542055,0.555379,0.572967
Andorra,Andorra,Europe,Western Europe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angola,Angola,Africa,Southern Africa,1113,690,742,793,715,812,716,830,870,1091,935,829,913,914,749,766,756,976,752,823.736,1050.3,912.734,1347.02,835.596,943.331,1020.02,995.377,717.667,766.045,766.285,750.395,737.949,747.372,742.37,752.811,778.983,790.653,788.144,823.458
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182616,0.173026,0.166267,0.160243,0.143466,0.140992,0.140589,0.141341,0.140828,0.139924,0.139076,0.142228,0.143068,0.150124,0.144156,0.144484,0.144699,0.144976,0.145227,0.145493
Antarctica,Antarctic,Polar,Antarctic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1.68607,1.69099,1.70303,1.71461,1.7367,1.7662,1.78507,1.7681,1.76096,1.75014,1.74708,1.74651,1.78514,1.81281,1.83892,1.87628,1.88762,1.91388,1.93871,1.96861
Argentina,Argentina,Latin America + Caribbean,South America,4044,4035,4214,4323,4372,4471,4631,4747,4618,4601,4559,4436,4376,4481,4515,4506,4506,4536,4672,4775.82,4861.08,4792.78,4864.09,4836.58,4812.79,4866.45,4828.55,4884.63,4774.69,4681.02,4724.48,4691.2,4566.35,4812.67,4833.4,4767.89,4763.11,4656.36,4661.74
Armenia,Armenia,Europe,Eastern Europe,63,66,69,71,73,76,76,75,75,74,73,73,73,74,76,78,78,78,119,127.113,137.605,130.734,124.058,114.331,120.817,115.591,121.978,124.447,121.531,124.726,122.16,120.652,124.011,129.185,134.604,140.963,146.864,147.892,154.043
Aruba,Netherlands,Latin America + Caribbean,Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.709434,0.722705,0.737428,0.757047,0.780288,0.803655,0.823638,0.80781,1.02468,0.826087,0.835931,0.859589,0.876988,0.900045,0.919945,0.943,0.961074,0.984566,1.01174,1.03542
Australia,Australia,Asia + Pacific,Australia + New Zealand,4490,4469,5066,4654,4892,5102,5445,5286,4753,5067,5220,4644,5130,4711,4830,5416,5199,4941,4935,5196.03,5483.32,5742.92,5547.74,5373.17,5870.62,5363.68,5405.49,5648.82,5567.33,5799.18,6101.55,6483.22,6300.24,5977.58,6034.84,5817.71,5670.7,6457.72,5821.17
Austria,Austria,Europe,Western Europe,430,426,425,433,440,439,441,447,448,457,463,463,470,472,481,490,488,484,493,483.753,477.584,478.085,470.693,473.15,458.438,455.275,450.192,440.36,435.941,433.644,427.848,423.443,418.676,414.481,408.144,402.691,401.535,399.244,395.473
Azerbaijan,Azerbaijan,Europe,Eastern Europe,305,314,324,334,350,366,377,387,399,410,421,429,441,455,472,489,509,525,534,540.492,545.641,525.986,499.769,471.359,451.114,434.166,423.731,422.648,434.163,461.907,474.03,489.248,504.012,526.66,539.551,576.3,622.719,705.085,806.949
Bahamas,Bahamas,Latin America + Caribbean,Caribbean,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6.48193,6.73619,6.93176,7.071,7.23506,7.42928,7.63104,7.84515,7.94436,8.04144,8.15603,8.32267,8.53169,8.68279,8.87379,9.13165,9.35739,9.57142,9.82014,10.0877
Bahrain,Bahrain,West Asia,Arabian Peninsula,38,38,39,46,51,49,51,58,59,63,63,68,65,65,69,78,77,77,80,83.8101,85.7206,78.1611,85.6475,92.0456,92.3209,92.9363,98.8005,104.019,109.622,111.611,113.455,117.032,122.299,125.125,128.131,132.355,139.294,145.639,152.169
Bangladesh,Bangladesh,Asia + Pacific,South Asia,4348,4117,4193,4220,4179,4324,4200,4235,4344,4394,4146,4195,4219,3981,4102,4146,4197,4118,4097,4173.34,4147.28,4092.74,4098.55,4039.18,4046.96,4068.23,4126.01,4154.01,4086.89,4264.58,4249.86,4316.46,4382.82,4428.31,4370.39,4485.61,4524.75,4595.21,4658.67
Barbados,Barbados,Latin America + Caribbean,Caribbean,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5.87937,6.12472,6.04514,5.99427,5.87485,5.88477,5.897,5.90589,5.30504,5.42649,5.57641,5.7653,5.08186,5.04198,4.99515,4.73825,4.91662,4.81152,4.90857,4.93322
Belarus,Belarus,Europe,Eastern Europe,577,606,627,645,667,690,698,706,723,733,741,748,763,780,798,816,828,848,844,861.599,888.062,859.247,827.52,788.718,751.306,706.529,679.437,665.007,666.984,658.076,634.393,637.14,640.113,629.583,640.884,668.85,687.731,708.136,730.668
Belgium,Belgium,Europe,Western Europe,673,654,649,665,677,666,661,666,655,658,658,655,654,648,658,666,649,633,592,591.205,592.621,595.81,585.608,573.968,571.76,578.94,557.897,541.331,529.197,539.175,527.572,509.995,488.101,472.21,471.716,458.271,456.388,454.633,454.185
Belize,Belize,Latin America + Caribbean,Meso America,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7.54933,8.08832,8.65756,8.70333,8.56927,8.63733,7.64259,7.97193,7.76045,7.54296,8.01644,7.95231,7.90173,8.27769,8.75303,8.47918,8.92891,9.04206,9.13498,9.19537
Benin,Benin,Africa,Western Africa,165,161,161,177,138,152,159,186,159,174,216,182,210,198,197,182,180,189,178,194.385,243.786,196.72,227.6,213.808,219.271,235.601,234.774,239.982,202.185,221.822,214.465,211.106,237.812,196.414,208.092,208.443,215.529,266.576,337.456
Bermuda,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.16189,1.14672,1.15575,1.15402,1.1649,1.18278,1.19549,1.20793,1.20873,1.2206,1.24011,1.26272,1.27802,1.29676,1.31344,1.33306,1.34863,1.36744,1.37911,1.40092
Bhutan,Bhutan,Asia + Pacific,South Asia,33,34,34,35,35,36,36,37,38,39,39,40,40,41,42,44,44,45,43,42.9736,43.7591,43.3714,56.9445,56.8081,56.6692,54.9862,54.953,50.3037,50.9937,59.4235,49.162,45.1493,48.1184,43.4531,48.3961,49.1955,59.8184,53.2786,57.3005
Bolivia (Plurinational State of),Bolivia,Latin America + Caribbean,South America,786,540,717,603,673,779,919,713,898,952,1011,907,948,1009,797,871,890,1075,927,944.24,1068.38,1019.2,1098.2,1203.29,925.64,978.63,1023.6,1055.09,914.049,1783.66,941.226,931.752,1111.25,940.898,2660.13,1421.09,913.382,949.696,1000.77
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Central Europe,151,152,153,155,165,160,158,158,162,165,174,184,201,215,218,221,216,217,205,209.515,218.546,202.42,176.893,162.413,83.2511,79.2356,68.8253,89.9493,104.445,107.318,127.222,105.556,108.857,125.508,122.864,126.936,133.417,140.216,144.64
Botswana,Botswana,Africa,Southern Africa,249,154,177,191,183,219,216,246,244,291,254,235,254,244,199,193,186,236,193,219.622,289.239,232.216,318.737,191.641,230.318,258.548,217.56,212.286,189.245,196.457,187.677,245.801,279.96,207.981,210.935,221.803,183.345,187.451,184.542
Brazil,Brazil,Latin America + Caribbean,South America,9892,8630,9634,9197,9849,10602,11841,10975,11653,12100,13118,12772,13144,13344,12775,13187,13773,14934,14435,14745.5,15222.8,15446.8,16197.3,16981.7,15939.6,16906.5,16693.9,16898.8,17946.8,17220.7,16334.6,17506,18489,19957.6,21883.4,23444.6,19395.9,19651.3,20069.5
British Virgin Islands,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.713764,0.721498,0.733565,0.745389,0.754788,0.766078,0.777148,0.787916,0.79538,0.804504,0.813937,0.822736,0.829773,0.837306,0.844713,0.851749,0.858481,0.865703,0.876214,0.886872
Brunei Darussalam,Brunei Darussalam,Asia + Pacific,South East Asia,77,61,83,124,123,137,167,189,195,184,213,172,176,210,165,155,156,174,159,148.906,171.964,175.968,198.742,183.579,182.346,199.578,185.647,186.381,341.117,188.775,184.844,192.715,191.227,203.159,196.943,217.654,214.271,206.335,221.53
Bulgaria,Bulgaria,Europe,Central Europe,473,489,509,525,530,557,577,590,606,624,645,664,685,699,714,716,726,737,738,750.589,746.451,718.869,707.027,668.522,648.217,645.931,654.088,645.375,651.675,648.893,656.349,640.12,620.835,625.926,625.445,608.491,602.492,593.421,584.77
Burkina Faso,Burkina Faso,Africa,Western Africa,220,219,210,206,197,204,210,221,220,231,249,247,259,261,268,288,294,304,308,319.557,344.675,340.052,360.846,368.111,381.395,401.527,413.342,428.857,438.591,410.853,430.464,478.272,477.685,497.78,526.652,559.345,582.321,637.914,645.905
Burundi,Burundi,Africa,Eastern Africa,70,69,72,74,75,76,76,77,78,80,74,68,70,70,72,71,76,76,78,79.2445,81.735,83.2794,85.4115,87.8108,88.366,87.9857,90.3357,91.5061,93.7265,71.2766,71.6589,99.5158,101.453,101.607,106.259,108.556,112.052,114.934,118.229
