Country Name,Sovereign,GEO Region,GEO Subregion,dis75,dis76,dis77,dis78,dis79,dis80,dis81,dis82,dis83,dis84,dis85,dis86,dis87,dis88,dis89,dis90,dis91,dis92,dis93,dis94,dis95,dis96,dis97,dis98,dis99,dis00,dis01,dis02,dis03,dis04
Afghanistan,Afghanistan,Asia + Pacific,South Asia,0,170000,0,264044,0,30000,0,35000,27440,0,0,0,0,161455,0,0,137200,0,0,100000,0,2500,20000,102000,60685,2580000,4000000,95445,500,2800
Albania,Albania,Europe,Central Europe,0,0,0,0,0,0,0,0,0,0,5745,0,0,690,0,0,3200000,35000,0,0,3500,0,8000,2100,0,0,0,191884,0,0
Algeria,Algeria,Africa,Northern Africa,0,0,0,0,30000,478948,0,8500,0,0,0,0,3145,10107,12000,0,0,2250,0,12500,0,0,0,0,0,0,45000,2285,0,27545
American Samoa,United States of America,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
Andorra,Andorra,Europe,Western Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Angola,Africa,Southern Africa,0,0,0,0,0,0,80000,0,0,0,500000,0,0,0,2296000,870000,0,0,0,0,0,0,0,105000,0,19000,39928,0,0,355000
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
Antarctica,Antarctic,Polar,Antarctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,4500,0,0,0,0,0
Argentina,Argentina,Latin America + Caribbean,South America,0,0,2500,1600,20000,40000,0,50000,5830000,12000,1195000,145000,165000,4600000,0,2000,62000,0,4000,0,33500,0,12500,364000,0,30300,254800,13700,143900,1300
Armenia,Armenia,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,0,22000,0,0,297000,0,0,0,0
Aruba,Netherlands,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Australia,Asia + Pacific,Australia + New Zealand,0,10000,0,100,0,0,0,80000,0,0,0,0,0,0,2000,6000,690,1750120,4777000,5760000,2681500,634300,400,12875,12000,1750,8580,120,5026,4000
Austria,Austria,Europe,Western Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,60300,0,0
Azerbaijan,Azerbaijan,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502800,0,75000,700000,750,2694,0,0,30000,0
Bahamas,Bahamas,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
Bahrain,Bahrain,West Asia,Arabian Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Bangladesh,Asia + Pacific,South Asia,0,4000000,213650,400000,2000,10001000,2000000,283000,27065000,30000000,1819000,2700000,45000000,53573900,5300000,2023870,18790000,0,16434100,775100,22857300,5910920,3592740,15263400,422250,2740640,726000,1650000,552500,33579000
Barbados,Barbados,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
Belarus,Belarus,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,21045,0,2000,0,0,0,0,0
Belgium,Belgium,Europe,Western Europe,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,600,135,800,0,0,140,900,0,0,2400,0,0
Belize,Belize,Latin America + Caribbean,Meso America,0,0,0,6000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,60000,0,62000,20000,0,0,0
Benin,Benin,Africa,Western Africa,0,0,0,4000,0,0,0,500000,670000,670000,1015000,0,0,68000,0,0,0,0,0,14000,115000,147901,51000,400000,47000,0,0,0,0,0
Bermuda,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Bhutan,Asia + Pacific,South Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65600,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),Bolivia,Latin America + Caribbean,South America,0,0,70000,163000,0,15000,0,30000,3133050,3000,0,260000,20000,0,0,283160,0,0,0,215000,0,0,190000,11100,4500,52277,357250,17085,48190,0
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Central Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,400,9000,0,62575,275000
